Team Name,Leader Name,Leader Email,Leader Phone,Leader College,Members
Quia eaque,Tiya Krishnamurthy,tiyakrishnamurthy@example.com,8421266071,"Amity University (AU), Gwalior, Madhya Pradesh",tiyakrishnamurthy@example.com
Ab eius,Aaryahi Gara,aaryahigara@example.com,9207423064,Sister Nivedita University (SNU),"aaryahigara@example.com,krishmadan@example.com,shlokvarughese@example.com"
Illo impedit,Ahana  Gokhale,ahanagokhale@example.com,5318661231,Ms Enterprise,ahanagokhale@example.com
Ex sapiente,Anahi Varghese,anahivarghese@example.com,912336154745,"Subodh Public School, Rambagh, Jaipur",anahivarghese@example.com
Labore aliquid,Eshani Kunda,eshanikunda@example.com,8716251234,Ramanand Arya D.A.V. College,eshanikunda@example.com
Cupiditate accusamus,Ivana Baria,ivanabaria@example.com,7951352026,"Vignan's Institute of Information Technology, Andhra Pradesh",ivanabaria@example.com
Distinctio fugit,Zeeshan Shetty,zeeshanshetty@example.com,9450753210,"Vignan's Institute of Information Technology, Andhra Pradesh",zeeshanshetty@example.com
Repellendus at,Ira Baral,irabaral@example.com,916378372357,"Ajay Kumar Garg Engineering College (AKGEC), Ghaziabad","irabaral@example.com,reyanshgrewal@example.com"
Aperiam eaque,Shalv Chakraborty,shalvchakraborty@example.com,6839250990,"Govind Ballabh Pant Engineering College, Pauri (GBPEC)",shalvchakraborty@example.com
Velit quae,Tanya Chawla,tanyachawla@example.com,5756579507,"Vignan's Institute of Information Technology (VIIT), Duvvada, Visakhapatnam",tanyachawla@example.com
Totam quos,Arnav Saraf,arnavsaraf@example.com,8294195498,Institute of Company Secretaries of India,arnavsaraf@example.com
Doloremque voluptas,Ayesha Barman,ayeshabarman@example.com,5976726424,"Vignan's Institute of Information Technology, Andhra Pradesh",ayeshabarman@example.com
Consequuntur corporis,Saira Sharma,sairasharma@example.com,918518779124,"Sambalpur University Institute of Information Technology (SUIIT), Sambalpur University","sairasharma@example.com,amirasidhu@example.com"
Vero nobis,Kiara Tata,kiaratata@example.com,2706296979,"MET Institute of Management (MET), Mumbai",kiaratata@example.com
Ea possimus,Mohanlal Bhandari,mohanlalbhandari@example.com,5415737328,"VSM's Somashekhar R Kothiwale Institute of Technology, Nipani, Karnataka",mohanlalbhandari@example.com
Provident sint,Tarini Comar,tarinicomar@example.com,346861169,"Chhatrapati Shahu Ji Maharaj University (CSJMU), Kanpur",tarinicomar@example.com
Rem adipisci,Urvi Ben,urviben@example.com,6364759102,"Accurate Institute of Management And Technology (AIMT), Greater Noida",urviben@example.com
Doloremque nostrum,Shayak Chanda,shayakchanda@example.com,3059126052,"Sambalpur University Institute of Information Technology (SUIIT), Sambalpur University",shayakchanda@example.com
Soluta iusto,Anay Anne,anayanne@example.com,3870317061,"Dr. Bhimrao Ambedkar University (DBAU), Agra, Uttar Pradesh",anayanne@example.com
Numquam dolor,Prerak Salvi,preraksalvi@example.com,919945147871,Jadavpur University,preraksalvi@example.com
Quidem,Ryan Gera,ryangera@example.com,4729572722,Jadavpur University,ryangera@example.com
Possimus aliquam,Fateh Tandon,fatehtandon@example.com,689379580,"Symbiosis Centre for Management and Human Resource Development (SCMHRD), Pune",fatehtandon@example.com
Doloribus,Sahil Subramaniam,sahilsubramaniam@example.com,916396796032,"Samrat Ashok Technological Institute, Vidisha (M.P.)","sahilsubramaniam@example.com,krishbose@example.com,tanyatrivedi@example.com"
Impedit aliquam,Dhanuk Hayer,dhanukhayer@example.com,911974186460,Berhampur University,dhanukhayer@example.com
Maxime quos,Aniruddh Chander,aniruddhchander@example.com,7924270076,Dr. APJ Abdul Kalam Technical University,"aniruddhchander@example.com,yuvrajbali@example.com,lavanyakanda@example.com"
Nam deleniti,Hazel Mane,hazelmane@example.com,9865906390,"Jadavpur University (JU), Kolkata",hazelmane@example.com
Voluptates error,Anya Mane,anyamane@example.com,3649241486,"Jwala Devi Mahavidyalay Retahi, Manikpur, Kunda Pratapgrah",anyamane@example.com
Autem,Pranay Yogi,pranayyogi@example.com,914611162072,"Mumbai University (MU), Mumbai",pranayyogi@example.com
Exercitationem accusamus,Ira Borde,iraborde@example.com,8879823635,IIT,iraborde@example.com
